反復回数n,x1,f(x1)
1,0.001000,-7.90775478
2,0.002000,-7.21460610
3,0.003000,-6.80913849
4,0.004000,-6.52145292
5,0.005000,-6.29830487
6,0.006000,-6.11597781
7,0.007000,-5.96182063
8,0.008000,-5.82828174
9,0.009000,-5.71049020
10,0.010000,-5.60512019
11,0.011000,-5.50979951
12,0.012000,-5.42277663
13,0.013000,-5.34272142
14,0.014000,-5.26859995
15,0.015000,-5.19959258
16,0.016000,-5.13503856
17,0.017000,-5.07439744
18,0.018000,-5.01722153
19,0.019000,-4.96313581
20,0.020000,-4.91182301
21,0.021000,-4.86301235
22,0.022000,-4.81647084
23,0.023000,-4.77199657
24,0.024000,-4.72941346
25,0.025000,-4.68856697
26,0.026000,-4.64932076
27,0.027000,-4.61155394
28,0.028000,-4.57515879
29,0.029000,-4.54003898
30,0.030000,-4.50610793
31,0.031000,-4.47328761
32,0.032000,-4.44150742
33,0.033000,-4.41070327
34,0.034000,-4.38081681
35,0.035000,-4.35179478
36,0.036000,-4.32358841
37,0.037000,-4.29615294
38,0.038000,-4.26944721
39,0.039000,-4.24343323
40,0.040000,-4.21807593
41,0.041000,-4.19334283
42,0.042000,-4.16920379
43,0.043000,-4.14563081
44,0.044000,-4.12259780
45,0.045000,-4.10008046
46,0.046000,-4.07805607
47,0.047000,-4.05650338
48,0.048000,-4.03540249
49,0.049000,-4.01473472
50,0.050000,-3.99448253
51,0.051000,-3.97462943
52,0.052000,-3.95515987
53,0.053000,-3.93605919
54,0.054000,-3.91731359
55,0.055000,-3.89890997
56,0.056000,-3.88083600
57,0.057000,-3.86307995
58,0.058000,-3.84563074
59,0.059000,-3.82847784
60,0.060000,-3.81161126
61,0.061000,-3.79502149
62,0.062000,-3.77869951
63,0.063000,-3.76263671
64,0.064000,-3.74682489
65,0.065000,-3.73125625
66,0.066000,-3.71592333
67,0.067000,-3.70081900
68,0.068000,-3.68593646
69,0.069000,-3.67126922
70,0.070000,-3.65681104
71,0.071000,-3.64255596
72,0.072000,-3.62849828
73,0.073000,-3.61463252
74,0.074000,-3.60095343
75,0.075000,-3.58745598
76,0.076000,-3.57413533
77,0.077000,-3.56098682
78,0.078000,-3.54800599
79,0.079000,-3.53518855
80,0.080000,-3.52253035
81,0.081000,-3.51002742
82,0.082000,-3.49767592
83,0.083000,-3.48547215
84,0.084000,-3.47341255
85,0.085000,-3.46149370
86,0.086000,-3.44971226
87,0.087000,-3.43806505
88,0.088000,-3.42654896
89,0.089000,-3.41516102
90,0.090000,-3.40389834
91,0.091000,-3.39275813
92,0.092000,-3.38173769
93,0.093000,-3.37083440
94,0.094000,-3.36004575
95,0.095000,-3.34936928
96,0.096000,-3.33880263
97,0.097000,-3.32834349
98,0.098000,-3.31798964
99,0.099000,-3.30773893
100,0.100000,-3.29758926
101,0.101000,-3.28753860
102,0.102000,-3.27758497
103,0.103000,-3.26772648
104,0.104000,-3.25796125
105,0.105000,-3.24828749
106,0.106000,-3.23870344
107,0.107000,-3.22920740
108,0.108000,-3.21979772
109,0.109000,-3.21047278
110,0.110000,-3.20123101
111,0.111000,-3.19207090
112,0.112000,-3.18299096
113,0.113000,-3.17398975
114,0.114000,-3.16506586
115,0.115000,-3.15621793
116,0.116000,-3.14744463
117,0.117000,-3.13874465
118,0.118000,-3.13011673
119,0.119000,-3.12155964
120,0.120000,-3.11307217
121,0.121000,-3.10465316
122,0.122000,-3.09630146
123,0.123000,-3.08801596
124,0.124000,-3.07979556
125,0.125000,-3.07163921
126,0.126000,-3.06354587
127,0.127000,-3.05551453
128,0.128000,-3.04754419
129,0.129000,-3.03963391
130,0.130000,-3.03178272
131,0.131000,-3.02398972
132,0.132000,-3.01625400
133,0.133000,-3.00857468
134,0.134000,-3.00095091
135,0.135000,-2.99338183
136,0.136000,-2.98586664
137,0.137000,-2.97840452
138,0.138000,-2.97099470
139,0.139000,-2.96363639
140,0.140000,-2.95632885
141,0.141000,-2.94907135
142,0.142000,-2.94186315
143,0.143000,-2.93470356
144,0.144000,-2.92759188
145,0.145000,-2.92052744
146,0.146000,-2.91350958
147,0.147000,-2.90653763
148,0.148000,-2.89961098
149,0.149000,-2.89272899
150,0.150000,-2.88589106
151,0.151000,-2.87909659
152,0.152000,-2.87234498
153,0.153000,-2.86563567
154,0.154000,-2.85896809
155,0.155000,-2.85234169
156,0.156000,-2.84575593
157,0.157000,-2.83921027
158,0.158000,-2.83270419
159,0.159000,-2.82623718
160,0.160000,-2.81980875
161,0.161000,-2.81341839
162,0.162000,-2.80706562
163,0.163000,-2.80074997
164,0.164000,-2.79447097
165,0.165000,-2.78822816
166,0.166000,-2.78202110
167,0.167000,-2.77584934
168,0.168000,-2.76971246
169,0.169000,-2.76361002
170,0.170000,-2.75754161
171,0.171000,-2.75150681
172,0.172000,-2.74550523
173,0.173000,-2.73953647
174,0.174000,-2.73360013
175,0.175000,-2.72769584
176,0.176000,-2.72182322
177,0.177000,-2.71598190
178,0.178000,-2.71017151
179,0.179000,-2.70439170
180,0.180000,-2.69864212
181,0.181000,-2.69292242
182,0.182000,-2.68723226
183,0.183000,-2.68157130
184,0.184000,-2.67593923
185,0.185000,-2.67033570
186,0.186000,-2.66476042
187,0.187000,-2.65921305
188,0.188000,-2.65369330
189,0.189000,-2.64820087
190,0.190000,-2.64273544
191,0.191000,-2.63729674
192,0.192000,-2.63188446
193,0.193000,-2.62649833
194,0.194000,-2.62113807
195,0.195000,-2.61580339
196,0.196000,-2.61049403
197,0.197000,-2.60520972
198,0.198000,-2.59995020
199,0.199000,-2.59471521
200,0.200000,-2.58950449
201,0.201000,-2.58431779
202,0.202000,-2.57915486
203,0.203000,-2.57401546
204,0.204000,-2.56889935
205,0.205000,-2.56380628
206,0.206000,-2.55873604
207,0.207000,-2.55368838
208,0.208000,-2.54866308
209,0.209000,-2.54365991
210,0.210000,-2.53867866
211,0.211000,-2.53371911
212,0.212000,-2.52878104
213,0.213000,-2.52386425
214,0.214000,-2.51896852
215,0.215000,-2.51409365
216,0.216000,-2.50923943
217,0.217000,-2.50440567
218,0.218000,-2.49959217
219,0.219000,-2.49479874
220,0.220000,-2.49002518
221,0.221000,-2.48527131
222,0.222000,-2.48053694
223,0.223000,-2.47582188
224,0.224000,-2.47112595
225,0.225000,-2.46644898
226,0.226000,-2.46179079
227,0.227000,-2.45715121
228,0.228000,-2.45253005
229,0.229000,-2.44792716
230,0.230000,-2.44334237
231,0.231000,-2.43877550
232,0.232000,-2.43422640
233,0.233000,-2.42969491
234,0.234000,-2.42518086
235,0.235000,-2.42068411
236,0.236000,-2.41620449
237,0.237000,-2.41174185
238,0.238000,-2.40729604
239,0.239000,-2.40286692
240,0.240000,-2.39845433
241,0.241000,-2.39405813
242,0.242000,-2.38967818
243,0.243000,-2.38531433
244,0.244000,-2.38096645
245,0.245000,-2.37663439
246,0.246000,-2.37231803
247,0.247000,-2.36801721
248,0.248000,-2.36373182
249,0.249000,-2.35946172
250,0.250000,-2.35520678
251,0.251000,-2.35096687
252,0.252000,-2.34674187
253,0.253000,-2.34253164
254,0.254000,-2.33833607
255,0.255000,-2.33415503
256,0.256000,-2.32998840
257,0.257000,-2.32583606
258,0.258000,-2.32169790
259,0.259000,-2.31757379
260,0.260000,-2.31346363
261,0.261000,-2.30936729
262,0.262000,-2.30528466
263,0.263000,-2.30121564
264,0.264000,-2.29716010
265,0.265000,-2.29311795
266,0.266000,-2.28908908
267,0.267000,-2.28507337
268,0.268000,-2.28107073
269,0.269000,-2.27708105
270,0.270000,-2.27310422
271,0.271000,-2.26914014
272,0.272000,-2.26518872
273,0.273000,-2.26124985
274,0.274000,-2.25732344
275,0.275000,-2.25340938
276,0.276000,-2.24950758
277,0.277000,-2.24561795
278,0.278000,-2.24174039
279,0.279000,-2.23787481
280,0.280000,-2.23402111
281,0.281000,-2.23017921
282,0.282000,-2.22634901
283,0.283000,-2.22253043
284,0.284000,-2.21872337
285,0.285000,-2.21492775
286,0.286000,-2.21114348
287,0.287000,-2.20737048
288,0.288000,-2.20360866
289,0.289000,-2.19985794
290,0.290000,-2.19611823
291,0.291000,-2.19238946
292,0.292000,-2.18867153
293,0.293000,-2.18496438
294,0.294000,-2.18126792
295,0.295000,-2.17758206
296,0.296000,-2.17390675
297,0.297000,-2.17024189
298,0.298000,-2.16658741
299,0.299000,-2.16294324
300,0.300000,-2.15930929
301,0.301000,-2.15568551
302,0.302000,-2.15207180
303,0.303000,-2.14846810
304,0.304000,-2.14487435
305,0.305000,-2.14129045
306,0.306000,-2.13771636
307,0.307000,-2.13415199
308,0.308000,-2.13059728
309,0.309000,-2.12705215
