反復回数n,x1,f(x1)
1,1.5005000,0.33555994
2,0.7507500,-1.01786001
3,1.1256250,-0.31227408
4,1.3130625,0.01747231
5,1.2193437,-0.14594915
6,1.2662031,-0.06388237
7,1.2896328,-0.02311613
8,1.3013477,-0.00279965
9,1.3072051,0.00734190
10,1.3042764,0.00227251
11,1.3028120,-0.00026322
12,1.3035442,0.00100473
13,1.3031781,0.00037078
14,1.3029951,0.00005378
15,1.3029035,-0.00010472
16,1.3029493,-0.00002547
17,1.3029722,0.00001416
18,1.3029607,-0.00000566
19,1.3029665,0.00000425
20,1.3029636,-0.00000070
f(x) = log(x) - cos(x) = 0

2分法: a = 0.001000 b = 3.000000
2分法による近似解: 1.30296503

処理時間,0.000221秒
