都市番号,x座標,y座標
1,4927.321,2623.21217
2,7087.135,2988.58074
3,7898.048,2137.23746
4,9228.554,4173.92788
5,226.851,1037.06089
6,8375.958,4445.71958
7,8275.413,4570.58937
8,6983.101,4478.51318
9,9443.073,9639.35981
10,8659.689,3175.16126
11,3788.229,7719.39043
12,9411.602,696.39596
13,2763.295,1488.06380
14,8457.672,7826.04201
15,1922.673,3011.56314
16,4167.209,7309.56773
17,1452.663,3464.49439
18,6658.834,4455.18793
19,7411.648,7139.72665
20,6905.103,3551.96680
21,6822.262,1221.17640
22,2836.406,277.27750
23,8568.835,6168.15541
24,7543.928,391.22323
25,3674.007,7965.87147
26,2060.052,1955.25031
27,539.920,2849.17934
28,4955.322,3251.43397
29,5716.502,6527.61193
30,8990.077,6050.88099
31,6493.111,9130.15072
32,297.006,144.87066
33,3184.931,7982.75307
34,5791.805,2165.51674
35,4523.067,8263.28690
36,771.111,8510.68140
37,8771.926,9556.27104
38,2172.825,7362.20844
39,6193.998,1885.87806
40,4588.832,3585.14258
41,4413.294,3298.83949
42,2469.100,6896.61988
43,968.771,621.21735
44,9223.697,2551.48688
45,1588.246,2235.02536
46,2766.163,9683.93769
47,7887.731,8740.90820
48,8232.515,3574.62726
49,7680.461,5112.93093
50,2208.838,2626.10551
51,5715.981,7773.64892
52,1343.359,6385.89605
53,7147.546,8319.76856
54,67.916,9800.64588
55,9421.757,1366.96286
56,3093.865,7421.75022
57,6922.557,6904.36689
58,1174.040,602.73047
59,8511.679,5547.23305
60,1597.590,9288.50682
61,1814.533,5473.69163
62,5574.592,1430.59591
63,2585.230,8708.41374
64,2092.798,2327.05543
65,9530.975,7020.52840
66,3520.056,496.18814
67,7836.834,3312.54133
68,2758.291,7374.41437
69,1341.186,9849.94353
70,7975.771,8438.11108
71,9070.467,7178.58849
72,62.723,2514.63113
73,2147.471,1217.48114
74,729.570,321.06603
75,4530.118,6767.75901
76,5182.416,61.79320
77,6887.989,5907.35899
78,4294.836,2357.14722
79,5288.765,7481.11428
80,4664.369,3156.85430
81,6100.055,2970.41892
82,2649.351,6401.36217
83,7089.131,6538.54672
84,2772.933,3476.35652
85,6027.614,5439.58134
86,2277.190,1427.39908
87,8855.577,5485.28551
88,434.881,7441.32342
89,5892.730,8414.53485
90,2820.828,8441.86430
91,2151.542,9643.26506
92,4295.892,96.96623
93,8046.988,5396.79494
94,3158.911,670.90420
95,4318.947,7590.60761
96,4937.112,7185.57200
97,7435.570,9192.50411
98,8280.954,7697.38682
99,9593.348,5323.88887
100,7814.361,5601.76370
k,i,next,min,tdis
2,4,6,894.869,894.869
3,6,7,160.318,1055.187
4,7,49,805.048,1860.235
5,49,93,463.596,2323.831
6,93,100,310.044,2633.875
7,100,59,699.447,3333.322
8,59,87,349.432,3682.754
9,87,30,581.368,4264.122
10,30,23,437.262,4701.384
11,23,71,1128.100,5829.484
12,71,65,486.879,6316.362
13,65,14,1341.951,7658.314
14,14,98,218.590,7876.903
15,98,70,801.130,8678.033
16,70,47,315.336,8993.369
17,47,97,639.053,9632.422
18,97,53,919.035,10551.457
19,53,31,1041.635,11593.092
20,31,89,934.111,12527.204
21,89,51,664.812,13192.016
22,51,79,517.774,13709.790
23,79,96,459.353,14169.143
24,96,75,583.277,14752.420
25,75,16,652.119,15404.539
26,16,95,319.387,15723.925
27,95,11,546.120,16270.045
28,11,25,271.661,16541.706
29,25,33,489.367,17031.073
30,33,56,568.346,17599.419
31,56,68,338.896,17938.315
32,68,42,558.497,18496.812
33,42,82,527.039,19023.852
34,82,38,1072.521,20096.373
35,38,90,1259.192,21355.565
36,90,63,355.746,21711.310
37,63,46,992.161,22703.471
38,46,91,615.965,23319.437
39,91,60,657.811,23977.248
40,60,69,617.215,24594.463
41,69,54,1274.223,25868.686
42,54,36,1469.180,27337.867
43,36,88,1120.971,28458.838
44,88,52,1392.573,29851.411
45,52,61,1026.704,30878.115
46,61,17,2041.525,32919.640
47,17,15,652.730,33572.370
48,15,50,480.071,34052.441
49,50,64,320.774,34373.215
50,64,26,373.244,34746.459
51,26,45,548.521,35294.980
52,45,86,1061.557,36356.537
53,86,73,246.764,36603.301
54,73,13,672.648,37275.949
55,13,94,907.889,38183.838
56,94,66,401.188,38585.025
57,66,22,717.843,39302.869
58,22,92,1470.582,40773.450
59,92,76,887.222,41660.672
60,76,62,1423.876,43084.548
61,62,34,766.349,43850.897
62,34,39,489.854,44340.751
63,39,21,914.628,45255.378
64,21,24,1099.829,46355.208
65,24,3,1781.563,48136.770
66,3,2,1175.740,49312.511
67,2,20,592.064,49904.574
68,20,8,929.824,50834.398
69,8,18,325.106,51159.504
70,18,85,1169.388,52328.892
71,85,77,979.317,53308.208
72,77,83,662.462,53970.671
73,83,57,401.959,54372.630
74,57,19,542.775,54915.404
75,19,29,1802.278,56717.682
76,29,35,2106.384,58824.067
77,35,37,4441.240,63265.307
78,37,9,676.271,63941.578
79,9,99,4318.087,68259.664
80,99,48,2216.254,70475.919
81,48,67,474.607,70950.525
82,67,10,834.244,71784.770
83,10,44,840.877,72625.647
84,44,55,1200.968,73826.615
85,55,12,670.644,74497.259
86,12,81,4017.154,78514.413
87,81,28,1178.721,79693.134
88,28,80,305.939,79999.073
89,80,41,288.441,80287.514
90,41,40,335.832,80623.346
91,40,1,1019.747,81643.093
92,1,78,686.168,82329.262
93,78,84,1889.132,84218.393
94,84,27,2319.418,86537.811
95,27,72,582.786,87120.597
96,72,5,1486.658,88607.255
97,5,43,850.513,89457.768
98,43,58,206.099,89663.867
99,58,74,526.202,90190.069
100,74,32,467.072,90657.141
,32,4,9798.258,100455.399
都市番号,訪問順序
1,91
2,66
3,65
4,1
5,96
6,2
7,3
8,68
9,78
10,82
11,27
12,85
13,54
14,13
15,47
16,25
17,46
18,69
19,74
20,67
21,63
22,57
23,10
24,64
25,28
26,50
27,94
28,87
29,75
30,9
31,19
32,100
33,29
34,61
35,76
36,42
37,77
38,34
39,62
40,90
41,89
42,32
43,97
44,83
45,51
46,37
47,16
48,80
49,4
50,48
51,21
52,44
53,18
54,41
55,84
56,30
57,73
58,98
59,7
60,39
61,45
62,60
63,36
64,49
65,12
66,56
67,81
68,31
69,40
70,15
71,11
72,95
73,53
74,99
75,24
76,59
77,71
78,92
79,22
80,88
81,86
82,33
83,72
84,93
85,70
86,52
87,8
88,43
89,20
90,35
91,38
92,58
93,5
94,55
95,26
96,23
97,17
98,14
99,79
100,6
訪問順序,都市番号
1,4
2,6
3,7
4,49
5,93
6,100
7,59
8,87
9,30
10,23
11,71
12,65
13,14
14,98
15,70
16,47
17,97
18,53
19,31
20,89
21,51
22,79
23,96
24,75
25,16
26,95
27,11
28,25
29,33
30,56
31,68
32,42
33,82
34,38
35,90
36,63
37,46
38,91
39,60
40,69
41,54
42,36
43,88
44,52
45,61
46,17
47,15
48,50
49,64
50,26
51,45
52,86
53,73
54,13
55,94
56,66
57,22
58,92
59,76
60,62
61,34
62,39
63,21
64,24
65,3
66,2
67,20
68,8
69,18
