実数型一様乱数データの統計処理結果

データ範囲,a,b
,1.5,100.5

データ数,10000
データ平均,51.3
データ不偏分散,812.77
データ標準偏差,28.51
データの最大値,100.5
データの最小値,1.5

級の数,20
級の区間幅,5.000000

データ区間,中央値,度数,累積度数,相対度数,累積相対度数
1.0 - 6.0,3.5,424,424,0.0424,0.0424
6.0 - 11.0,8.5,468,892,0.0468,0.0892
11.0 - 16.0,13.5,510,1402,0.0510,0.1402
16.0 - 21.0,18.5,513,1915,0.0513,0.1915
21.0 - 26.0,23.5,518,2433,0.0518,0.2433
26.0 - 31.0,28.5,514,2947,0.0514,0.2947
31.0 - 36.0,33.5,482,3429,0.0482,0.3429
36.0 - 41.0,38.5,520,3949,0.0520,0.3949
41.0 - 46.0,43.5,512,4461,0.0512,0.4461
46.0 - 51.0,48.5,537,4998,0.0537,0.4998
51.0 - 56.0,53.5,503,5501,0.0503,0.5501
56.0 - 61.0,58.5,493,5994,0.0493,0.5994
61.0 - 66.0,63.5,509,6503,0.0509,0.6503
66.0 - 71.0,68.5,501,7004,0.0501,0.7004
71.0 - 76.0,73.5,468,7472,0.0468,0.7472
76.0 - 81.0,78.5,503,7975,0.0503,0.7975
81.0 - 86.0,83.5,539,8514,0.0539,0.8514
86.0 - 91.0,88.5,488,9002,0.0488,0.9002
91.0 - 96.0,93.5,549,9551,0.0549,0.9551
96.0 - 101.0,98.5,449,10000,0.0449,1.0000
,,累計,10000,累計,1.000000


正規乱数データの統計処理結果

正規分布,平均,標準偏差
真の値,1000.000000,200.000000

データ数,10000
データ平均,1000.1
データ不偏分散,39997.02
データ標準偏差,199.99
データの最大値,1707.8
データの最小値,179.9

級の数,20
級の区間幅,77.000000

データ区間,中央値,度数,累積度数,相対度数,累積相対度数
179.4 - 256.4,217.9,2,2,0.0002,0.0002
256.4 - 333.4,294.9,3,5,0.0003,0.0005
333.4 - 410.4,371.9,9,14,0.0009,0.0014
410.4 - 487.4,448.9,41,55,0.0041,0.0055
487.4 - 564.4,525.9,105,160,0.0105,0.0160
564.4 - 641.4,602.9,213,373,0.0213,0.0373
641.4 - 718.4,679.9,413,786,0.0413,0.0786
718.4 - 795.4,756.9,723,1509,0.0723,0.1509
795.4 - 872.4,833.9,1111,2620,0.1111,0.2620
872.4 - 949.4,910.9,1337,3957,0.1337,0.3957
949.4 - 1026.4,987.9,1543,5500,0.1543,0.5500
1026.4 - 1103.4,1064.9,1506,7006,0.1506,0.7006
1103.4 - 1180.4,1141.9,1162,8168,0.1162,0.8168
1180.4 - 1257.4,1218.9,836,9004,0.0836,0.9004
1257.4 - 1334.4,1295.9,516,9520,0.0516,0.9520
1334.4 - 1411.4,1372.9,280,9800,0.0280,0.9800
1411.4 - 1488.4,1449.9,130,9930,0.0130,0.9930
1488.4 - 1565.4,1526.9,45,9975,0.0045,0.9975
1565.4 - 1642.4,1603.9,17,9992,0.0017,0.9992
1642.4 - 1719.4,1680.9,8,10000,0.0008,1.0000
,,累計,10000,累計,1.000000


